# Mysterious pattern central peak parameters
# I_baseline Intensity  Δxcam  Δycam FWHM_maj FWHM_min orientation  Δ2theta     Δchi
#      [cts]     [cts]  [pix]  [pix]    [pix]    [pix]       [deg]    [deg]    [deg]
     1315.05  11894.71  5.101  5.149    0.727    0.917       -2.39 -0.00865  0.00905
     1312.62  12024.38  5.209  5.126    0.924    0.729     -275.48 -0.00679  0.00614
     1308.77  11645.82  5.215  5.183    0.737    0.936     1971.25 -0.00810  0.00597
     1314.26  12051.28  5.223  5.213    0.733    0.920     -544.12 -0.00874  0.00575
     1304.03  11728.67  5.359  5.150    0.761    0.919       -1.81 -0.00554  0.00209
     1303.74  11629.30  5.440  5.084    0.772    0.923       -4.47 -0.00298 -0.00009
     1303.41  11205.15  5.327  5.027    0.775    0.943       -4.25 -0.00296  0.00297
     1308.39  11102.14  5.088  5.021    0.775    0.942      173.40 -0.00573  0.00943
     1311.73  11400.24  4.990  5.032    0.752    0.933     -180.94 -0.00718  0.01207
     1317.12  11986.17  5.099  5.065    0.927    0.721      -91.39 -0.00666  0.00912
     1306.77  11632.85  5.252  5.089    0.745    0.939       -2.84 -0.00537  0.00497
     1306.49  11483.47  5.375  5.169    0.763    0.942      -10.60 -0.00582  0.00164
     1303.84  11696.46  5.383  5.277    0.932    0.763      256.03 -0.00832  0.00140
     1305.16  11863.32  5.314  5.347    0.904    0.758     3495.84 -0.01087  0.00325
     1316.38  12329.13  5.201  5.330    0.740    0.882       -6.10 -0.01184  0.00632
     1310.23  12001.93  5.261  5.258    0.753    0.890      176.92 -0.00935  0.00470
     1311.61  11727.72  5.246  5.191    0.909    0.772    -1358.24 -0.00793  0.00513
     1307.18  11761.51  5.115  5.156    0.761    0.892       -5.29 -0.00865  0.00868
     1316.92  11763.02  5.233  5.093    0.766    0.886       -2.30 -0.00570  0.00549
     1299.61  10945.83  5.708  4.981    0.839    0.903      -13.13  0.00278 -0.00732
